;avg_spending;favorite_purchase_cluster;likes_sales;favorite_browse_cluster
06c32c8ce1b9c8af1439c713654cd04723826615;214;1;1;7
06c3b8a6509b9bdd939d0b53532b145069103e1d;310;0;0;0
06cf4743088b859ee62e92eeef3820eedcccc2cd;884;7;1;7
06d7331a72debd908385e7445b869112cf6fe1d6;249;3;0;3
06f8e8f8c02d5b3f2628dfe8d5bd256f7cefaaa4;225;2;1;2
07034e04d5ed54e48af544d239481ab1a59ea8d9;375;0;0;9
0705a9950a5a2e7c17db6f115e316490e298d380;300;2;0;2
072848df1e629980288fefc5ce8102e5222fa4a3;388;1;0;6
074c24c8889095df847faa13abb09d5fdcf167fc;1869;9;1;9
0756c18e5a030f7773dac1751447ce58c51e6fb0;2220;3;1;3
075e7d7bd2c7d06deda68fdb1c707bc7df1c2de4;800;2;0;2
0760111f3617d97bb82de6decfa11c720453aaf6;1184;3;0;1
076aaf9b6f8b3777e59c08cc078711f37fb75df9;480;7;0;7
076e183ab58a28cfabac30f5fbd5c9686ec7b622;1330;0;0;9
076e34c3496de162a977657bb4a09d965df5ac91;260;0;0;0
0771be43e7c04f4aa6d2a1e34c8497ca37413bc4;600;1;1;1
0772d07c13ef58cfde52e7d1be85265e623e108b;489;2;1;2
0774f577ca1c3c53ecf3f6164b12a6e9f08c47e7;130;9;1;0
07804026d65120bdc687d73520ef527fd15605c2;800;1;0;6
079416853a8068cc2727b1de3189eaf5161b098a;582;1;1;9
07bd506d6d1e039874d26abb128543650ec77304;280;0;1;0
07d609b3b7908fd83d949e2a692743e851fe0001;340;0;1;9
07d92b2307bf4bab0d1ea4d437241c45ccb56cb6;550;9;1;2
07da85771c3e678339586f65fe0c0af232616b8b;415;3;1;2
07e817cf12cb9b28c955a5e21d4a94ebe58fa47b;372;9;1;9
07ea699f128624b5b464359ec2e628cdd05818a4;250;2;1;9
07efb8a045252c58b6642f606934a5c2dc01d713;600;1;0;1
07fecb5548639f71e00667a767be19a61ab7bac9;610;9;1;9
082302c265d4c82631b87d64fd048e82b8d14b6a;530;2;1;9
0831a0bbb7959f1a1de7dfc5b393089b88124afe;550;2;0;2
0854cb03e78c25951a8eb0789ea93e279e466a09;800;2;1;2
0873d4b43b4c81369be27276bdb92a1efdb98197;200;1;1;7
087946f07523554ec42b97f07f7ac1d2ff3cc9e0;265;2;1;2
08850ebce3c9a8ac9093d0c740359d3c3a8356ad;5767;0;0;9
0893ef98f90c199a94f600a143e7898dbe3e3d2c;698;3;0;3
08bd928f4f75b398c3bafd91c6242bb5da725f5d;1229;0;0;0
08cf3ca7cc30aa3060d96865247ede1c842f52c6;480;7;1;7
08d698f2a660f2a7c87bfde9ce5738a4a5c76e2c;748;2;1;0
08e5c7b5680466ba8d5a155a4ef7ffd81686d3e8;250;2;1;2
090f2a1d6f54b30032cc6d053537843fd7d91069;1070;9;1;9
091716de8432b3b8b8da0fd5013abbe9cf6df48c;1002;1;1;1
092d78639efb391f899bdb82105b75c09821fb2f;955;2;0;2
0941ce254a603da541133214ebc02f33d3ec2a07;335;2;1;7
094688ff1a3d54ac02ef5970ace65695d6d6e5e8;590;0;0;9
095402027f707c7ca31fd81afef86908f0fff319;1000;1;1;1
095a705d6458903de22269a156433d8b9120d91a;780;2;1;2
097f9ae433991112584223c3cc6e50a10a2abd30;279;1;0;6
09b57400f71df670455c8ebbd92585b01a39b229;819;2;1;9
09be08ebccacef9bb5f7841058f15bd1127f907f;1800;0;0;2
09c950903b5fbdce9efb2cafce94e6dfc30db3db;0;2;0;6
09e50151d454ff70fa5b1fb32173f716d7536b49;900;3;0;3
0a02274b25ed4b734f15e7ecfc254163a4075242;650;5;1;5
0a0da45580281b2c9086fb1ee1ef380a0df9f2ac;646;0;1;9
0a22623fb05303b8fc5f41858e85c5d219ce8a0e;889;7;0;3
0a614e88a3109ebf7e57fac52401db51431bb602;80;9;1;9
0a75c5dd39792305e2e460bb5fd85c5e5c919bc4;900;2;0;2
0a967315f8962721e9229cffd48ac98827047406;180;1;0;1
0ad3cd951d0a0fa326113b5b9f03e154ccb2b1b1;400;7;0;0
0adf07ee202199b5ec18d16ec04c0fec169eb07f;1600;2;0;2
0afef740c78a323e17fe8c94c896b04302823871;231;1;1;7
0b144e26b4c40e2c08712dea3deba7c5c2a51b8e;0;7;0;5
0b1b147a0c1e49a19e18b3a78b799ef8b6823c00;382;7;0;7
0b26aae82692facbb5f793a56a84fc174614d5d6;1163;2;0;9
0b4bcd8bfd467a79bde1fca927e972d9242347ef;300;2;1;2
0b4da9cc6e1163dcf9d1ecf0a063ea1e0ab7f1b9;854;9;1;2
0b58bc899ee51809bfb62eb07657756e35af7113;553;1;1;2
0b80858c40471e67d1965fc6223547b5c7f700f3;255;3;1;3
0ba05eac4a49258116b139cd05b99b6e9d0b7087;440;0;0;0
0bacbb99537c6d717427d50fb83fe3fc4112a4f7;533;5;1;7
0bbd808c800289dc324437407a2f59fb33dcb00d;0;0;0;9
0bd500e33793a867720b2b5b3a4a5ac2e3b8bddc;304;0;0;0
0bdd700dff767d4cce16741756cb3068a288cb95;1299;2;1;2
0bf6eb9bf1f3b9d8a409939dc9606bd1fa78532a;282;0;0;0
0c3aa95eeff6f05fe40dff3eb2c63ad88080f63e;375;1;1;1
0c472bb53a01d76d4e4f8371333c0af078b1e4e0;2013;9;1;2
0c6b7483007cb859ed9d084c9d36100cfea23595;207;1;0;1
0c6f2a74a865a211e5a252ea6340c1ce3e5e39c1;922;0;0;9
0cd20bf2dfe9a5525879ca2d75038f9464c2853b;350;2;1;2
0cd495e7510254f5a8a04d319abd188d3a544c49;1800;2;0;2
0cd6115861f2f50f3646bc11d9f6666c5d1d3605;380;2;1;2
0cd9c32f0b03e3e7b21afc389dc8140b7f3e4917;230;3;1;3
0ce26829f8d7f2e2ea3160c8c5b4d20f55c264b0;200;3;1;2
0ce8a8eac77605eb7700e428584a53bd8b7c963c;150;2;1;0
0ceac931b7d9dfb13999f8fe6d227c85efc26928;367;0;0;9
0ceb6a1de5fc17a36f2860b9ee25f0f32e8df761;880;2;0;2
0d1931a559d65190911bdda4bb26a5a64cb64e11;310;2;1;2
0d1e042e2e3db5dc3436f97a6b49dff495ec4de8;297;7;1;1
0d2625e28b298dbd494e5c439bda3345cd6773c8;849;7;1;7
0d411f17223246868c608d03129ea56aa3e4bcdf;1716;1;1;1
0d8eb6cc78b27b19f5b61a425b8a88e4e48ba035;928;1;0;1
0dba26b0e845813f860c207eb9bfefbc843a82d5;380;2;1;9
0dbd6010547fc64f3151dd3aa98ffd1a1ab7776c;452;9;1;0
0e0421b5efb8d55629f88968f9aff6437ee2b731;50;2;1;2
0e199afe5535d35380eede60ac77b9293171dcb3;657;2;0;7
0e250debb4da49be9e7443b953b6a75afdf889f2;520;1;1;1
0e349acb3dc6e1e75f2e281d3c1abd195c68e031;370;3;0;3
0e43a30703703f2d7cf849d879ba37fa33587f59;250;1;1;1
0e4771940e03d6aae34a10c522c1d8cff70d2830;377;7;1;6
0e5b78d9662c2e7ddf40c76fc31af19c75893b42;1130;0;1;2
0e5c112834fb2a3e02a7bf95064fa35f595630ae;330;2;0;2
0e797860cd427a84f37f1ca551515f99649e366c;2300;6;0;6
0e8348c6e087afdc9319b6701393ec4c60ea0bad;550;9;1;0
0e8f42791dc2aabdda86477384dda8a45d55f6cb;696;7;1;2
0ea049ad1dfedc4c7af1a9c9cd160795f9233979;550;9;1;9
0eaff218c565b7e373d15fcb9b82c75db94e4ed2;1250;9;1;0
0eb767c053b240c0de63eeade041c7423b516d31;1017;1;0;1
0ef3c6a4f11016086369f1ae02bd91b0e354268d;250;2;1;2
0f138f51d11bc0dd558d0f020f6630d4ed3cb383;410;6;0;6
0f607c1c8e398ff8173f0c1d0faadcc57abea7fb;570;0;0;1
0f83cfbcf443b14c2963130756a0416a07d86ef3;364;0;0;9
0f84fdc3d7a13185e89a1064f58b7ca0f10cd3f0;433;2;1;7
0f98f28bc1e0c32a1ebec1cd0f50e55262e2cef3;970;1;1;6
0fb249438c534305cf99e34e6fa8fe0ceedfe394;1170;2;1;2
0fcc152b121315a85e7f638508013e4b07f8922b;400;2;1;2
0fef3faae55b0411ac9ee8ef9782515792968992;310;2;0;2
0ff41a2073f3f4d6a2e00d8df61cc976fd8edb82;500;2;0;2
0ff7d91bc8f9854d68460fe989aa512db34a3cd1;530;1;1;1
1007ff9669a261af8da2f0c3c6fadf624015663a;275;1;0;1
10462b20e6bfc340420ff9104568242d56615b86;771;3;1;3
104ea179d1b52a6ac90dd6ca87921b9c7b52e3a3;0;2;0;2
1050160fe890dbd51f14c62939cda5d8b09f608b;600;3;1;3
10526980b1670fd6bf86a729236d0d2f402a3b65;880;2;1;2
1061ab898a755b6f1dd45d1df4c18bc25d812bf7;1450;1;0;1
10650b6ea9a483bd875b2fa7162d7c11cf8a9ecd;167;9;1;9
108718fb83ae32292f0bf3fd004468a25c75dcae;341;2;1;9
108eb8ae1e517a4122a3cd631963afc240fb0450;0;3;0;3
10b381e2d5c8b56bb241e5cf42868c0c907bb3b7;290;9;1;1
10d4b7f4265ccc51037babe025c1a4f013f2b1ec;649;2;0;9
10d7a9c2673724ec4324d88a8e9bf582f5f7d2c5;170;3;1;2
10e12eff766cded2a448611b651944ed1620e235;440;2;1;2
110bb16e2cd5e68865d92740c71124b56fdbbdc2;530;2;1;7
11419c9ca36037270bdea74177b4a9e723f6ae24;320;2;1;2
11504c501639ec6229969211a5d79c77e8a7d40c;1110;2;0;9
1159a8158b5abc0f3a81ebbb35764026f5281bf0;320;1;1;1
115d417a1ec69f0874197c4ab3fdabcc5bfb8786;140;3;1;0
11715d25087bc012c640dadbb9ef1e13d8c3566d;160;9;1;9
118887388f82c9baa0da22f92ecc187c47f7572e;265;1;0;3
11966349a375516b64a8ae2be9476513705ddcfa;555;0;1;2
11b37daf336c53a3d4b3ec5d6800b1a010968ad4;300;2;0;2
11b61d06fa27dcc4d32931a9e4221fcd3e8c9e7b;950;7;0;7
11bfeaf1d58e27150780ce8086fe73fea3c96ed8;480;1;0;0
11c2269741a999e95572264db4060f168227bb7f;1555;1;0;7
11c6bd468b9c9fa090b98a444b8d7c9adb7ff7fc;1434;9;1;1
11e23981012a421ad38c30d886d42c79bc5d7ad4;898;9;1;1
11f508f363e0e57fc9fbf3c2421feee6906b4329;909;1;1;1
120b36fce4170593f942c5cadf465fc92f65800e;333;1;0;7
120fbbfbcbccdae1a390b3880815512705151394;1370;9;1;9
1211a9768ccd46db8488ab8143619b6afcf2d8d7;108;0;0;0
1256be2da5ece941b756bce2b142cc920f28f434;602;6;1;1
1261b70371565718292ad830d786d59aa09cb953;470;2;1;3
1272e4e92fcd5400740ef185554dc0a93f479fe4;474;2;1;2
1280515b35438d428a9eccea8137b6b20be929c2;180;0;1;9
1288babe9c144a7d14e498ee24d33cade6b15df4;270;2;1;2
128a5efaf8e0cba7419fec4da0b35e15d80fc03b;150;2;0;2
1294adfee9083876e14d1b5021333867754e3bde;180;1;1;1
129fc3ebf47636a8e68f06313430ac2cd0108501;573;7;0;7
12a1b25a1b23f29a2871feff23f0826f927d96e6;600;2;0;9
12b7b5fe8c4fab00326f91b3659bf505e339b284;1377;3;0;7
131ee1c320ca8b91bfe5863955ee60dc2d602363;250;2;0;2
13313e6129346d18c8728a334ed6934924e682a9;360;2;1;2
133855daaa022be098799fc5f5501145216a3cd7;150;2;1;9
133b74750ea4589990c7c1605995d74fbffd3f71;250;2;1;2
13441c3c8b32852cb520c1eaf3082f5b702adb88;737;7;0;7
134fbfdb2da0d083a6a86080780d98849362821d;679;1;0;1
136f683b1c2e78a975594ae13572ac092ceddd63;300;7;0;7
137960fa30c7b2101247e3d1bb48894a6244cf3f;800;2;1;0
137b89d4fdbdb43cb9d3a16933fed09cc919c240;283;1;0;7
13a08b615c8e415c518980988bbbbc8f2e4d64eb;604;0;0;1
13bbfc6898c8b2f114b2cdf835c48b89e46acb9d;350;2;1;9
13c505f74c462f0e01e388f49253e0b7dc51646f;350;2;1;2
13d2fd86fc8baf87c1a629b14c4986abb923d352;575;2;0;2
13d474e4b28c12e09df6fb50d0686c0ee1d1b201;1654;1;0;7
13ead4e998dc120f5cba059d14c38003f9b92a9f;742;1;1;1
13f3a8eff08ba56e54e0e69db6bd104400415cd4;390;9;1;9
140a731e00eab6d131178925ac99bc4cf33324fa;300;7;1;7
140aee4346c6063e866bfd640b023947f9c38abd;615;6;0;6
140b7a5e619d588e01f5a18c7404e045f1b878ba;100;9;1;0
1417eec92c20ccd9b38dcff26ccabef7951a7438;430;0;1;2
1422f7236983af104a7148667cc9829f236b437d;370;1;1;9
14283ed35a7cf4bb9a4494bf8e012195a411f0b1;379;2;0;2
142a4842a9d559737952a5afa2e215fc67ca34cb;745;0;0;9
1432a858e94e84283e7b32c9fd2cc0f613472f6e;280;9;1;9
144139534d6d5e4d36e1a80b6437dd03bf27fede;300;7;1;2
14b8cceaf74f184ef3261d5751b37206217f43d1;350;7;0;2
14c7d5f1917ecd6fc02da272822c2452ec8be37e;190;0;0;0
14ffaff137e097d5ae86b7bb51549e35fbc32466;940;0;1;0
1532b80a21dc754d224cff524f5488af9176c1f1;1170;2;1;1
153539914579de5317237575dc48e34acf2c4731;1170;9;1;9
15359567c6767f9e40cb23ab6435ab3d320c564e;470;2;0;0
1549a49f4dc55cfb956a27139915840fc61ceef3;0;2;0;2
154d6280890cfcab29e7f9c5fafd145a759635d1;969;1;1;6
1555e8a9b4bb1ee0391e13e83b30a06d0b5d6e55;1010;0;0;0
155d66ebaf5f4f132f1fb2a498bae44b00cf41bf;567;2;0;0
1568bb7108d65a0dfb86a06a0069d0bdc3fcdd9d;355;9;1;0
156a0f9c2604a82c1d8156cfe34442bc083f6ed2;515;2;1;2
156bbffe3b93b1cf43466c1f53831ccf0c8c0934;820;2;1;7
156d3d2f3413835a20435b1f3342dc70691dedc5;260;3;0;0
156dcf1aade0a4ccff3033d50bd2558eb9e2ce36;150;2;1;1
1570f14b4cb0c8e18d73d5b0cf01254ecced9c7e;1305;1;1;1
1575b8deba21b750a0e6df58ea5ddc7a3d52e9e0;420;6;0;6
159e681747bedc8debf6c7623c21efe832db3297;189;7;1;1
15ad7742ad3660f15fe8a7ac90440138045bece4;634;2;1;6
15e7ff427399ab0ca09e36df85905d65d6b18101;680;9;1;9
15eb6b4d648c85e3770cf2780ac9a60badb0d6f7;3305;9;1;7
15edef45d249fa9ddc56e43d39c3362650ab8353;600;3;1;3
1617d57eb4de79671a2339d275176795cb4c14bd;1125;0;1;0
1625ef4d7344a6f8dce7a4026c2bddd13136df88;959;9;1;2
163bdbf1ba87f66d75e286a90b9f5f71ea69d1e4;411;2;1;2
165cdafc2a787aa9120ac8e56a1d32a157327c03;1047;0;0;1
166343826df5452f86ff2e00ca193eafcb6c3a16;277;1;1;6
169641473fe2e9c2e1ff1aebfb2cf4c5aa2ec198;840;2;1;2
1699ee4e9123fe56370a10dea310286e8ee0fcad;999;2;0;6
16ac1c9fbe98601aead1bf876e7005918bb2f199;390;9;1;2
16af48831c9fbd66be1b680e0b496e579777b2d2;595;0;0;9
170c9e781cd676235b04593c7434e39d32bb6e93;1060;1;0;2
1716d6d8662078c93bff601248392db650adf5f3;950;9;1;9
1718ad058ac0626b85ee83868db3c50f104f23d4;470;1;1;1
17286978c2eae6f73bda0756142beabbdedfa86d;900;2;0;9
173bab1c64f6399acac83b9eab59f270621b7814;333;2;1;2
173f3c9a7ab3ad7d8f56410f714021839df1d96c;350;7;0;7
17401448dece0a10d49822cbb2bff34a19eb2054;1299;7;0;7
176d0086f2a373f3bc3aea051839147a548acc74;1270;3;1;6
177444887c4c4b7fda885f404596d22e02ceda9f;470;7;1;2
17a619edbcfbf745b283c82490a5c5612f5569ef;900;2;0;2
17b223eacc2517c825ff7af93d3c92b96657f118;380;2;1;2
17c8057d8cbe699fc2076c9b3a741aa5ccee851b;200;9;1;0
17ef91890393169b2c59e7a3c3874b37ceadc46b;200;1;0;1
183906e96b086cc09dfa093a16126a29a0f80107;180;0;1;9
184a41259f8d400380861d1a74b5dd1bb3af8879;803;1;0;1
184e0033bc9883c0169ce6d8125daa570f032769;1300;0;0;9
1894cbcbb8bd306f0dba20cc951e19a54946ba79;410;0;0;0
18bcca265df14b9e22d457374cb1be139e511759;930;0;0;3
18d4577b9f3eba5c18a5357942b03560f93a966b;950;2;1;2
18d5f3de6629c96ea7f3996aeea867b1ce336a59;968;0;0;9
18f6f00e0021fad1e244704b0d542905b9b4610d;150;2;1;2
19207dae858dd18c9d55c18176f8a6bba935e395;573;0;0;2
194026ade315042fbbbc3a861b29b7c43d576317;550;7;1;7
197615a75d69c2f5cfa4c57b8b43e72c82dcdb0e;571;3;1;3
198104c7721a226db663435e02afb042f263c15d;280;1;1;1
1983fade4be0e57544779ffbdde94942a1a17f30;499;0;0;0
19a0d2a6d611d6c1c5f0bc4fb5fb1bd271ac52a9;880;2;0;2
19b8f28f9bb00782b47f27fec27f7f58c0e5ac2a;150;6;1;6
19d22c3de8fc71d685bfe51c22086c3ef5d162df;200;1;1;1
19d3d064b3522818cfb17f1d1443b7bb658c0a51;320;7;1;2
19d517984416c4424baac8e603b77836fde60429;359;0;1;0
19e75e6c4b4fe3bf72838d77ead85f79dbd7bd15;470;1;1;1
19f623f62b874f59a289b9c7459dbc9a25a7f4e9;0;7;0;3
1a0a04f83f2b9765fa559dcabbea3a00ef44b8df;350;9;1;0
1a1480ef3a9f3592c0e8ae6b5f96474df03cf46c;350;7;1;7
1a5a6a6671a15834b23e3ab81e5b1a30115da9cb;430;2;0;2
1a5ebb08d2b28fa27d559fb8cd2c641250f49551;0;0;0;0
1a7e6bb0e20a92c44974621e55986863c6868491;553;9;1;0
1a82d7071fc869eaf769ad190adb4f3dee6b9308;3680;1;0;5
1a8e0ef7adf377b47eba8c733c27cf881ff9210f;250;2;0;2
1a97e1a9942ccfdf3a343b8a21a85cfa03693a9e;180;1;0;1
1aa249be3ba44776ede03c43a7fda287379ac0ae;190;3;0;3
1ab11fca418b0255702bf31228c6a3e704baf506;569;9;1;9
1aea6b685b31f364b0c5f7694cee60bf047914a2;250;9;1;9
1b00b554cb8d17abafa4153f5e2808c76f47435c;390;2;1;2
1b116a0338e6a73ed2a8d4306f8b076e60ce2ae2;524;1;1;1
1b1745d8a7ccf5d3aab4c2a122e4891072d24765;450;0;0;9
1b27423085ff6dec5eee0e1d91dbeab3f8774a88;414;0;0;9
1b29108890b53dfb67d0aa31455af99ca9cc71c4;356;3;1;3
1b2bf80b78ec74859ac94d55d251a9bf24ec2eed;260;3;1;3
1b3f49cebac21b1303d89e11829a026e0fe7d75d;422;1;1;7
1b6060ad9bb57b890835d8c95c4046df3ce16f81;215;0;1;0
1bba2137e3404ac1f9b42238dd0b1d15a7934b9e;550;7;1;7
1bcadcbdef5395ff816a1efbb2a69eb34aa486f1;1129;2;1;2
1be8696140c39c58a42ed0170d4f76af51d0ce19;493;2;1;2
1bea9dff8aec2dcc886814d804b111ce503a03d1;614;1;1;6
1c06cb388c8c93cbec03ac8c128e2c718c865829;1000;1;1;1
1c27f7f59c7e79046aa85c224205b61921bf9658;631;1;1;1
1c3d0ebbcca4e375b2984579bb9ff1211560c5d5;1350;7;0;7
1c6bfcbf790da813dcaa60821f9e81193651815f;265;7;1;9
1c81658d0a8a888503ab5c402e642fb467ebd71e;870;9;1;3
1c9e7143d9edb5f4a0aef5d15695362f86882670;590;9;1;2
1c9fc548a98586f1ea0168a65ea603b6ccaa37d6;900;2;0;1
1ca6c0af1430ef50cea68988f2a4de839bff1b55;900;2;0;1
1cef451139d85922f317bbfd662f3f40734e6855;1096;1;0;1
1d0d506936c870ca26b690f75a7d0b76d25c3a72;350;2;1;2
1d28d079aed9e3682521177c4cab884a7f66823f;359;0;0;9
1d29187f44498034f20d380cdbb94fd977b97832;610;1;1;1
1d3c42544d0c4765106bbb3917d81756217786ce;1000;2;0;2
1d4e46d05a1587e3867db94d4fe626630e3dd555;489;2;0;2
1d7dd9c92232ce00d67f5a5bd568f9693f63654d;1100;7;1;7
1d83962af42cc0a8b3e8778aa4fab9af13ccca01;510;2;0;2
1d86e79e2b3730abaa60a98c5b97c8a92c13d6fd;310;0;1;9
1db9fc2ce2d3204eb2e14062649fb8e35c634326;511;7;0;2
1dbf65f00cab32341623ec603c1b92d5c923277c;620;2;1;2
1de019c910514dd972df80592716f33be74da0bc;1105;1;1;1
1dee02dff2fdad117dfd1f940b1f87cb7bd50dea;350;2;0;2
1e131e2f77efce5ac11e2b51049dddcaebc01739;680;2;0;0
1e136225110c1c4a72b2c1214eac390f2adde220;800;7;0;7
1e20dcc632bff8cb63149c3af48c1ce05cb163e0;120;1;0;1
1e2a2fa37eccafc263c7bdbb99a3a7288f5067d6;300;2;0;2
1e3acc738d176a75806d5224339be030bbd9c3b0;330;9;1;9
1e3fd1dc09a97a973cf4ad0d2200dbfb5bcedf53;150;2;1;2
1e51fc1b6a9511681373950bd33c6bef0d49339e;3271;0;0;7
1e5ee6c7150f3b28442954b552c9e233bc91c49d;516;6;0;1
1e699488766ca33458188803059e24cdea4fb586;200;2;1;2
1ea5245ebfe27ebc2a07de0926a510077f8dd05e;420;1;1;1
1ec55f8254f631235197ae367fe22b2a3be89c21;285;1;0;1
1edcb5e1b0a61807268f7a8c2cb1bfc6063b1af3;0;0;0;0
1ee249d467a40ca1103559ba0abd00f303084730;280;0;0;9
1eefb78594589055f59bc675fa09895a88d1e6b9;450;6;1;6
1f0cedefabab971e2a4324dcb463b1a270e5b797;130;0;0;9
1f10e9b5bc2e2323ae20ebcd085c236d86d5738f;90;1;0;1
1f34fb309e9dc426228ee1241875dfa4c0e8a7a1;200;3;0;0
1f39ccd33bd9f632cd05c79f3509f109b245e10b;333;6;0;6
1f72e01fe445749e0911dc7090ffb321117740f1;281;2;0;6
1f9b9453abd8b35a22df0a6f3d4b0586040eb3aa;200;9;1;9
1f9e859d854e446304da17c60377199dad36fe33;680;6;0;3
1fb5684fcccbf436d2a52a9d84fe59d50e3631a0;1484;2;0;0
1fc1ab0687f3bf6462ea71d30c03fda4a76f8072;1581;0;0;1
1fc37583515e519564ceb919289b80ec4988eebb;400;7;1;7
1fe9a422fa00fc0e84bba2d2a5f19e45f1b0d327;290;9;1;9
1ff8920f6f68be98be4d5bfc64445250adaa3a97;350;7;0;7
2023efb7c631d2a42041c8f243ee6d353d0bbe24;150;2;1;9
